DATE,TIME OF DAY,NUMBER OF CRASHES,PERSONS INJURED,PERSONS KILLED,PEAK LOCATION,MAIN FACTOR,MAIN TYPE OF CAR
2012-08-15,EVENING,100,25,0,east 51 street                  ,unspecified,passenger vehicle
2012-08-15,MORNING,109,20,0,broadway                        ,unspecified,passenger vehicle
2012-08-15,SMALL HOURS,31,14,0,39 street                       ,unspecified,passenger vehicle
2012-08-16,AFTERNOON,190,48,0,flatbush avenue                 ,unspecified,passenger vehicle
2012-08-16,EVENING,98,31,0,flatbush avenue                 ,unspecified,passenger vehicle
2012-08-16,MORNING,150,32,0,ditmars boulevard               ,unspecified,passenger vehicle
2012-08-16,SMALL HOURS,24,5,0,87 street                       ,unspecified,passenger vehicle
2012-08-17,AFTERNOON,181,49,0,broadway                        ,unspecified,passenger vehicle
2012-08-17,EVENING,87,26,0,east tremont avenue             ,unspecified,passenger vehicle
2012-08-17,MORNING,116,23,0,richmond road                   ,unspecified,passenger vehicle
2012-08-17,SMALL HOURS,47,20,0,hillside avenue                 ,unspecified,passenger vehicle
2012-08-18,AFTERNOON,152,36,0,northern boulevard              ,unspecified,passenger vehicle
2012-08-18,EVENING,80,29,0,new lots avenue                 ,unspecified,passenger vehicle
2012-08-18,MORNING,92,17,0,east gun hill road              ,unspecified,passenger vehicle
2012-08-18,SMALL HOURS,87,25,0,broadway                        ,unspecified,passenger vehicle
2012-08-19,AFTERNOON,119,28,0,8 avenue                        ,unspecified,passenger vehicle
2012-08-19,EVENING,79,28,0,3 avenue                        ,unspecified,passenger vehicle
2012-08-19,MORNING,76,19,0,linden boulevard                ,unspecified,passenger vehicle
2012-08-19,SMALL HOURS,84,34,0,avenue d                        ,unspecified,passenger vehicle
2012-08-20,AFTERNOON,156,65,0,coney island avenue             ,unspecified,passenger vehicle
2012-08-20,EVENING,75,13,0,broadway                        ,unspecified,passenger vehicle
2012-08-20,MORNING,108,22,1,amsterdam avenue                ,unspecified,passenger vehicle
2012-08-20,SMALL HOURS,30,6,0,west 259 street                 ,unspecified,passenger vehicle
2012-08-21,AFTERNOON,164,31,0,queens boulevard                ,unspecified,passenger vehicle
2012-08-21,EVENING,71,26,1,broadway                        ,unspecified,passenger vehicle
2012-08-21,MORNING,114,35,0,broadway                        ,unspecified,passenger vehicle
2012-08-21,SMALL HOURS,25,7,1,11 avenue                       ,unspecified,passenger vehicle
2012-08-22,AFTERNOON,151,54,1,queens boulevard                ,unspecified,passenger vehicle
2012-08-22,EVENING,77,29,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-08-22,MORNING,140,31,0,hylan boulevard                 ,unspecified,passenger vehicle
2012-08-22,SMALL HOURS,21,3,0,flatbush avenue                 ,unspecified,passenger vehicle
2012-08-23,AFTERNOON,187,62,1,flushing avenue                 ,unspecified,passenger vehicle
2012-08-23,EVENING,107,44,1,west 23 street                  ,unspecified,passenger vehicle
2012-08-23,MORNING,116,19,0,5 avenue                        ,unspecified,passenger vehicle
2012-08-23,SMALL HOURS,30,14,0,avenue u                        ,unspecified,passenger vehicle
2012-08-24,AFTERNOON,185,48,0,broadway                        ,unspecified,passenger vehicle
2012-08-24,EVENING,100,35,0,broadway                        ,unspecified,passenger vehicle
2012-08-24,MORNING,113,18,0,central park west               ,unspecified,passenger vehicle
2012-08-24,SMALL HOURS,43,13,1,east 34 street                  ,unspecified,passenger vehicle
2012-08-25,AFTERNOON,140,32,0,broadway                        ,unspecified,passenger vehicle
2012-08-25,EVENING,81,34,0,bowery                          ,unspecified,passenger vehicle
2012-08-25,MORNING,87,20,0,west 42 street                  ,unspecified,passenger vehicle
2012-08-25,SMALL HOURS,54,16,0,bergen street                   ,unspecified,passenger vehicle
2012-08-26,AFTERNOON,117,40,0,broadway                        ,unspecified,passenger vehicle
2012-08-26,EVENING,72,26,1,canal street                    ,unspecified,passenger vehicle
2012-08-26,MORNING,74,8,0,hylan boulevard                 ,unspecified,passenger vehicle
2012-08-26,SMALL HOURS,74,36,0,jerome avenue                   ,unspecified,passenger vehicle
2012-08-27,AFTERNOON,187,58,0,northern boulevard              ,unspecified,passenger vehicle
2012-08-27,EVENING,66,23,2,queens plaza north              ,unspecified,passenger vehicle
2012-08-27,MORNING,118,37,0,west 38 street                  ,unspecified,passenger vehicle
2012-08-27,SMALL HOURS,39,9,0,linden boulevard                ,unspecified,passenger vehicle
2012-08-28,AFTERNOON,191,33,0,broadway                        ,unspecified,passenger vehicle
2012-08-28,EVENING,76,20,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-08-28,MORNING,139,39,0,pennsylvania avenue             ,unspecified,passenger vehicle
2012-08-28,SMALL HOURS,32,11,0,brookville boulevard            ,unspecified,passenger vehicle
2012-08-29,AFTERNOON,166,33,0,broadway                        ,unspecified,passenger vehicle
2012-08-29,EVENING,71,11,0,merrick boulevard               ,unspecified,passenger vehicle
2012-08-29,MORNING,138,32,0,springfield boulevard           ,unspecified,passenger vehicle
2012-08-29,SMALL HOURS,37,4,0,francis lewis boulevard         ,unspecified,passenger vehicle
2012-08-30,AFTERNOON,180,44,0,northern boulevard              ,unspecified,passenger vehicle
2012-08-30,EVENING,87,24,0,west 35 street                  ,unspecified,passenger vehicle
2012-08-30,MORNING,158,48,0,northern boulevard              ,unspecified,passenger vehicle
2012-08-30,SMALL HOURS,31,20,0,flatbush avenue                 ,unspecified,passenger vehicle
2012-08-31,AFTERNOON,235,65,1,broadway                        ,unspecified,passenger vehicle
2012-08-31,EVENING,130,44,1,2 avenue                        ,unspecified,passenger vehicle
2012-08-31,MORNING,135,37,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-08-31,SMALL HOURS,40,17,0,stillwell avenue                ,unspecified,passenger vehicle
2012-09-01,AFTERNOON,159,37,0,jamaica avenue                  ,unspecified,passenger vehicle
2012-09-01,EVENING,69,21,0,3 avenue                        ,unspecified,passenger vehicle
2012-09-01,MORNING,88,33,0,remsen avenue                   ,unspecified,passenger vehicle
2012-09-01,SMALL HOURS,74,17,0,utica avenue                    ,unspecified,passenger vehicle
2012-09-02,AFTERNOON,126,49,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-09-02,EVENING,72,32,0,broadway                        ,unspecified,passenger vehicle
2012-09-02,MORNING,67,18,0,west 42 street                  ,unspecified,passenger vehicle
2012-09-02,SMALL HOURS,68,24,0,west 34 street                  ,unspecified,passenger vehicle
2012-09-03,AFTERNOON,99,18,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-09-03,EVENING,52,23,0,7 avenue                        ,unspecified,passenger vehicle
2012-09-03,MORNING,71,24,0,ralph avenue                    ,unspecified,passenger vehicle
2012-09-03,SMALL HOURS,69,37,0,linden boulevard                ,unspecified,passenger vehicle
2012-09-04,AFTERNOON,167,38,0,4 avenue                        ,unspecified,passenger vehicle
2012-09-04,EVENING,93,28,0,7 avenue                        ,unspecified,passenger vehicle
2012-09-04,MORNING,143,46,0,broadway                        ,unspecified,passenger vehicle
2012-09-04,SMALL HOURS,36,10,0,west 110 street                 ,unspecified,passenger vehicle
2012-09-05,AFTERNOON,195,47,0,eastern parkway                 ,unspecified,passenger vehicle
2012-09-05,EVENING,80,31,1,atlantic avenue                 ,unspecified,passenger vehicle
2012-09-05,MORNING,151,29,0,jamaica avenue                  ,unspecified,passenger vehicle
2012-09-05,SMALL HOURS,41,21,0,8 avenue                        ,unspecified,passenger vehicle
2012-09-06,AFTERNOON,176,39,0,queens boulevard                ,unspecified,passenger vehicle
2012-09-06,EVENING,75,17,0,hillside avenue                 ,unspecified,passenger vehicle
2012-09-06,MORNING,157,36,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-09-06,SMALL HOURS,22,7,0,chrystie street                 ,unspecified,passenger vehicle
2012-09-07,AFTERNOON,238,66,0,northern boulevard              ,unspecified,passenger vehicle
2012-09-07,EVENING,85,29,0,parsons boulevard               ,unspecified,passenger vehicle
2012-09-07,MORNING,162,31,0,northern boulevard              ,unspecified,passenger vehicle
2012-09-07,SMALL HOURS,40,19,0,2 avenue                        ,unspecified,passenger vehicle
2012-09-08,AFTERNOON,172,49,0,broadway                        ,unspecified,passenger vehicle
2012-09-08,EVENING,92,39,0,broadway                        ,unspecified,passenger vehicle
2012-09-08,MORNING,131,29,0,linden boulevard                ,unspecified,passenger vehicle
2012-09-08,SMALL HOURS,61,23,0,east houston street             ,unspecified,passenger vehicle
2012-09-09,AFTERNOON,145,45,0,white plains road               ,unspecified,passenger vehicle
2012-09-09,EVENING,75,17,0,8 avenue                        ,unspecified,passenger vehicle
2012-09-09,MORNING,68,11,0,east 36 street                  ,unspecified,passenger vehicle
2012-09-09,SMALL HOURS,67,32,0,utica avenue                    ,unspecified,passenger vehicle
2012-09-10,AFTERNOON,213,66,1,ocean parkway                   ,unspecified,passenger vehicle
2012-09-10,EVENING,71,21,0,flatbush avenue                 ,unspecified,passenger vehicle
2012-09-10,MORNING,175,47,0,queens boulevard                ,unspecified,passenger vehicle
2012-09-10,SMALL HOURS,31,11,0,east 71 street                  ,unspecified,passenger vehicle
2012-09-11,AFTERNOON,164,46,0,broadway                        ,unspecified,passenger vehicle
2012-09-11,EVENING,60,12,0,atlantic avenue                 ,unspecified,passenger vehicle
2012-09-11,MORNING,136,30,0,park avenue                     ,unspecified,passenger vehicle
2012-09-11,SMALL HOURS,25,3,0,arthur kill road                ,unspecified,passenger vehicle
2012-09-12,AFTERNOON,214,42,0,flatbush avenue                 ,unspecified,passenger vehicle
2012-09-12,EVENING,94,31,0,linden boulevard                ,unspecified,passenger vehicle
2012-09-12,MORNING,162,35,0,northern boulevard              ,unspecified,passenger vehicle
2012-09-12,SMALL HOURS,32,14,0,broadway                        ,unspecified,passenger vehicle
